code	name	category	source	dualo_code
0,2,4,6,7,9	Hexa-lydien,Raga Yamuna Kalyani	6 notes	Solfego.fr,Harmonics.com	0,14,4,18,7,21,0,14,4,6,7,21
0,2,3,5,7,9	Hexa-mélodique,Raga Suddha Bangala	6 notes	Solfego.fr,Harmonics.com	0,14,3,17,7,21
0,1,3,5,7,8	Hexa-phrygien,Raga Simantini	6 notes	Solfego.fr,Harmonics.com	0,13,3,17,7,20
0,3,4,7,9,10	Hexa-tritonique Binaire	6 notes	Solfego.fr	0,3,4,7,21,10
0,2,3,6,8,9	Hexa-tritonique Diminué,Raga Neelangi	6 notes	Solfego.fr,Harmonics.com	0,14,3,6,20,21,0,14,3,18,20,21
0,1,3,6,7,9	Hexa-tritonique Diminué 2,Messiaen Mode Tronqué 2	6 notes	Solfego.fr,Harmonics.com	0,13,3,18,7,21,0,13,3,6,7,21
0,2,3,6,7,9	Hexa-tritonique Diminué Suspendu,Raga Vijayanagari	6 notes	Solfego.fr,Harmonics.com	0,14,3,18,7,21,0,14,3,6,7,21
0,4,5,7,8,10	Indoustane,Raga Kamalamanohari	6 notes	Solfego.fr,Harmonics.com	0,4,17,7,20,10
0,2,3,4,7,9,11	Blues Majeur (Première Forme)	7 notes	Solfego.fr	0,14,3,4,7,21,11
0,3,5,6,7,9	Blues Majeur (Deuxième Forme),Blues Majeur,Blues	6 notes	Solfego.fr,GuitarPro5	0,3,17,18,7,21,0,3,17,6,7,21
0,3,5,6,7,10	Blues Mineur (Première Forme),Blues Mineur,Blues	6 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,3,17,18,7,10,0,3,17,6,7,10
0,3,6,8,9,10	Blues Mineur (Deuxième Forme)	6 notes	Solfego.fr	0,3,6,20,21,10,0,3,18,20,21,10
0,2,4,6,9,10	Prométhée,Prometheus,Prometheus F # Et Sib	6 notes	Solfego.fr,Wikipedia,Harmonics.com	0,14,4,18,21,10,0,14,4,6,21,10
0,2,4,6,8,10	Ton Par Ton,Ton-par-ton,Auxiliaire Augmentée,Messiaen 1er Mode,Raga Gopriya,Anhémitonique Hexatonique	6 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,18,20,10,0,14,4,6,20,10
0,2,3,5,7,8,10	Aéolien,Mineure Naturelle,Ethiopienne,Aeolien Mineur Naturel,Asavari Asc Nats. A À G,Grégorien 2,Assari Thaat,Se (Chine),Kitmun (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,20,10
0,2,3,5,6,8,10	Aéolien B5,Mélodique Locrien,Demi Diminué,Locrien Mineur,Hindi 3 Bémoles Et Bv	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,6,20,10,0,14,3,17,18,20,10
0,1,3,4,6,8,10	Altéré Superlocrien,Mélodique Superlocrien,Altérée,Hindi 5 Bémoles,Super Locrien 5 Bémoles,Lydien Augmenté,Hindi 5 Bémoles & Biv,Super Locrien 6 Bémoles,Superlocrien,Super Locrien,Ton-par-ton Diminué	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,4,18,20,10,0,13,3,4,6,20,10
0,2,4,5,6,8,10	Arabe,Locrien Majeur	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,6,20,10,0,14,4,17,18,20,10
0,2,4,6,7,9,10	Bartock,Bartok,Harmonique,Mélodique Lydien,Acoustique,Lydien B7,Hindi #Iv & Bvii,Mela Vacaspati,Raga Bhusavati,Lydien Mixolydien	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,18,7,21,10,0,14,4,6,7,21,10
0,3,5,6,7,10,11	Blues (Heptatonique),Blues Avec Sensible	7 notes	Solfego.fr,Harmonics.com	0,3,17,18,7,10,11,0,3,17,6,7,10,11
0,1,3,4,6,7,10	Demi-ton Tons Sans Sixte	7 notes	Solfego.fr	0,13,3,4,18,7,10,0,13,3,4,6,7,10
0,2,3,5,7,9,10	Dorien,Kafi D À C Asc. Naturals,Eskimo Heptatonique (Amérique Du Nord),Kafi Thaat,Embulum (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,21,10
0,1,4,6,8,10,11	Enigmatique,Enigmatique Ascendant,Enigmatique Ascendante	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,18,20,10,11,0,13,4,6,20,10,11
0,1,4,5,7,8,10	Espagnole (Première Forme),Espagnole,Juive,Harmonique Mixolydien,Phrygien Dominant,Dorico Flamenco,Avaha Raba,Folk Espagnole,Juive Majeure,Alhijaz (Arabie),Ahavh Rabbah (Israël),Hitzaz (Grèce),Gypsy Espagnol	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,17,7,20,10
0,1,4,5,7,9,10	Gitane,Gypsy,Mineure Harmonique Inverse,Bhairav,Maqam Hicaz (Arabie)	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,4,17,7,21,10
0,1,4,5,7,8,11	Gypsy,Byzantine,Double Harmonique,Flamenco,Hongroise Folk,Byzantine Majeur Gypsy,Bhairav ​​thaat,Mela Mayamalavagaula,Raga Paraj,Hitzazkiar (Grèce)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,17,7,20,11
0,2,4,5,7,8,10	Hindou,Indienne,Mélodique Mixolydien,Majeur Mineur,Hindoue Bvi & Bvii,Mela Carukesi,Raga Tarangini	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,14,4,17,7,20,10
0,2,3,6,7,8,10	Hongroise Gitane,Gypsy Hongroise,Gypsy,Gypsy Hongrois,Mela Sanmukhapriya,Damian Emmanuel	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,18,7,20,10,0,14,3,6,7,20,10
0,3,4,6,7,9,10	Hongroise Majeure,Raga Nasamani	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,3,4,18,7,21,10,0,3,4,6,7,21,10
0,2,3,6,7,8,11	Hongroise Mineure,Algérienne,Hongroise Gypsy,Nawa Athar Maqam (Arabie),Double Mineure Harmonique,Niavent (Grèce)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,18,7,20,11,0,14,3,6,7,20,11
0,2,4,5,7,9,11	Ionien,Majeure,Bilaval C À B Asc. Nats.,Thaat,Nid Murub (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,7,21,11
0,2,4,5,8,9,11	Ionien #5,Harmonique Phrygien,Majeur Harmonique 2,Ionien # 5	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,14,4,17,20,21,11
0,1,3,5,7,9,10	Javanais,Javanaise,Jazz Mineur Inverse,Dorien Bii,Hindi	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,17,7,21,10
0,1,3,5,6,8,10	Locrien,Locrien - B À A Ascendant Naturel,Qablitum (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,17,6,20,10,0,13,3,17,18,20,10
0,1,3,5,6,9,10	Locrien Bécarre 6,Harmonique Dorien,Locrien Naturel Maj 6,Pseudo Turque	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,17,6,21,10,0,13,3,17,18,21,10
0,2,4,6,7,9,11	Lydien,Kalyan F À E Ascendant Naturel,Ping (Chine),Nis Garb.ri (Mésopotamienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,18,7,21,11,0,14,4,6,7,21,11
0,3,4,6,7,9,11	Lydien #2,Harmonique Aéolien,Raga Kuksumakaram	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,3,4,18,7,21,11,0,3,4,6,7,21,11
0,2,4,6,8,9,11	Lydien Augmenté,Mélodique Lydien Augmenté,Hindi #Iv & #V	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,6,20,21,11,0,14,4,18,20,21,11
0,2,4,5,7,8,11	Majeure Harmonique,Grande Harmonique,Majeur Harmonique 1,Éthiopienne,Nat Bhairava	7 notes	Solfego.fr,Wikipedia,Harmonics.com	0,14,4,17,7,20,11
0,2,3,5,7,8,11	Mineure Harmonique,Mahométan,Harmonique Ionien,Gamme Mineure Harmonique	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,20,11
0,2,3,5,7,9,11	Mineure Mélodique,Hawaïenne,Mélodique Ionien,Jazz Mineur,Mineure Mélodique Ascendante,Mineur Mélodique	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,21,11
0,2,4,5,7,9,10	Mixolydien,Khamaj G À F Ascend. Nats,Ching (Chine),Mitum (Sumérien),Grégorien 7	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,7,21,10
0,1,3,5,7,9,11	Napolitaine Majeure,Mélodique Dorien,Mela Kokilapriya,Raga Kokilaravam	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,17,7,21,11
0,1,3,5,7,8,11	Napolitaine Mineure,Raga Dhunibinnashadjam,Maqam Shahnaz Kurdi (Arabie)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,17,7,20,11
0,1,4,5,6,8,10	Orientale (Première Forme)	7 notes	Solfego.fr	0,13,4,17,6,20,10,0,13,4,17,18,20,10
0,1,4,5,6,8,9	Orientale (Deuxième Forme)	7 notes	Solfego.fr	0,13,4,17,6,20,21,0,13,4,17,18,20,21
0,3,4,5,8,9,11	Orientale (Troisième Forme)	7 notes	Solfego.fr	0,3,4,17,20,21,11
0,1,4,5,6,7,10	Persane (Première Forme)	7 notes	Solfego.fr	0,13,4,17,18,7,10,0,13,4,17,6,7,10
0,1,4,5,6,8,11	Persane (Deuxième Forme),Persienne,Perse,Hypolydien Chromatique Inverse,Le Persan	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,17,6,20,11,0,13,4,17,18,20,11
0,1,3,5,7,8,10	Phrygien,Bhairavi E À D Asc. Nats.,Ishartum (Sumérien),Grégorien 3	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,17,7,20,10
0,2,3,6,7,9,10	Roumain Mineur,Harmonique Lydien,Dorien Ukrainien,Roumaine,Gnossiennes,Mineur Ukrainien Raja,Dorien Avec Quarte Augmentée	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,18,7,21,10,0,14,3,6,7,21,10
0,1,3,4,6,8,9	Superlocrien Bb7,Harmonique Locrien,Ultra Locrien	7 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,4,6,20,21,0,13,3,4,18,20,21
0,2,4,5,7,9,10,11	Bebop Dominante,Be-bop,Bebop Dominant,Messiaen Mode 6,Mode 6	8 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,7,21,10,11
0,2,4,5,7,8,9,11	Bebop Majeur,Quinte Augmentée,Majeur Bebop	8 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,7,20,21,11
0,2,3,4,5,7,9,10	Bebop Mineur	8 notes	Solfego.fr,Harmonics.com	0,14,3,4,17,7,21,10
0,1,3,4,6,7,9,10	Blues Diminué (Première Forme),Diminuée 2,Blues Diminué,Demi-diminué,Symétrique,Blues Dim.,Blues Auxiliaire Diminuée	8 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,4,18,7,21,10,0,13,3,4,6,7,21,10
0,1,3,4,6,7,9,11	Demi-diminué,Shostakovich,Shostakovich Nommée En Cyrillique Monogramme	8 notes	Solfego.fr,Harmonics.com	0,13,3,4,18,7,21,11,0,13,3,4,6,7,21,11
0,2,3,5,6,8,9,11	Diminué,Diminuée 1,Octatonique,Auxiliaire Diminuée,Messiaen 2e Mode	8 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,6,20,21,11,0,14,3,17,18,20,21,11
0,1,3,4,5,6,8,10	Espagnole (Deuxième Forme),Espagnole 8 Tons	8 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,4,17,6,20,10,0,13,3,4,17,18,20,10
0,1,3,4,5,7,8,10	Espagnole 8 Tons,Phrygien Majeur,Flamenco,Phrygien Espagnol	8 notes	Solfego.fr,Harmonics.com	0,13,3,4,17,7,20,10
0,1,2,3,4,5,6,7,8,9,10,11	Chromatique	12 notes	GuitarPro5	0,13,14,3,4,17,6,7,20,21,10,11,0,13,14,3,4,17,18,7,20,21,10,11
0,1,5,6,10	Iwato,Iwato (Japon)	5 notes	GuitarPro5,Wikipedia,Harmonics.com	0,13,17,6,10,0,13,17,18,10
0,2,3,7,8	Hirajoshi,Hirajoshi (Japon)	5 notes	GuitarPro5,Wikipedia,Harmonics.com	0,14,3,7,20
0,2,4,6,8,10,11	Ton Par Ton Sensible,Ton-par-ton Sensible	7 notes	GuitarPro5,Harmonics.com	0,14,4,18,20,10,11,0,14,4,6,20,10,11
0,1,4,5,6,9,10	Orientale,Orientale 1,Tsinganikos (Grèce),Raga Ahira Lalita	7 notes	GuitarPro5,Harmonics.com	0,13,4,17,6,21,10,0,13,4,17,18,21,10
0,3,5,8,10	Pentatonique 3,Blues Pentatonique Mineur,Hard Japan Déscendant,Raga Malkauns,1 # Blues Pentatonique Mineur De 2b,Hard Japon Déscendant,Hard Japan Descendent,Hard Japan Déscendant 3 # 's	5 notes	GuitarPro5,Harmonics.com	0,3,17,20,10
0,1,4,7,9	Pentatonique Altéré	5 notes	GuitarPro5	0,13,4,7,21
0,1,3,4,6,7	Istrienne	6 notes	Wikipedia	0,13,3,4,18,7,0,13,3,4,6,7
0,1,4,6,7,10	Tritone,Raga Indupriya,Petrouchka Chord	6 notes	Wikipedia,Harmonics.com	0,13,4,18,7,10,0,13,4,6,7,10
0,3,5,7,11	Minyo,Raga Nata,Madhuranjani	5 notes	Wikipedia,Harmonics.com	0,3,17,7,11
0,1,2,3,5,7,9,10	Adonaï Malakh (Israël)	8 notes	Harmonics.com	0,13,14,3,17,7,21,10
0,2,3,5,6,7,8,11	Algérienne	8 notes	Harmonics.com	0,14,3,17,6,7,20,11,0,14,3,17,18,7,20,11
0,1,5,7,9	Pentatonique Altérée	5 notes	Harmonics.com	0,13,17,7,21
0,1,4,6,7	Balinaise Pentatonique	5 notes	Harmonics.com	0,13,4,18,7,0,13,4,6,7
0,1,4,5,7,9,11	Bhairubahar Thaat	7 notes	Harmonics.com	0,13,4,17,7,21,11
0,3,5,6,11	Blues #V	5 notes	Harmonics.com	0,3,17,18,11,0,3,17,6,11
0,2,3,4,7,9	Blues Dorien Hexatonique,Blues Majeur	6 notes	Harmonics.com	0,14,3,4,7,21
0,1,3,4,7,9	Blues Dorien Hexatonique 2	6 notes	Harmonics.com	0,13,3,4,7,21
0,3,5,6,7,9,10	Blues Heptatonique	7 notes	Harmonics.com	0,3,17,18,7,21,10,0,3,17,6,7,21,10
0,3,5,6,7,11	Blues Mineur Maj7	6 notes	Harmonics.com	0,3,17,18,7,11,0,3,17,6,7,11
0,2,3,5,6,7,10	Blues Modifié	7 notes	Harmonics.com	0,14,3,17,18,7,10,0,14,3,17,6,7,10
0,2,3,5,6,7,9,10	Blues Octatonique	8 notes	Harmonics.com	0,14,3,17,6,7,21,10,0,14,3,17,18,7,21,10
0,1,3,5,6,7,10	Blues Phrygien	7 notes	Harmonics.com	0,13,3,17,18,7,10,0,13,3,17,6,7,10
0,1,2,5,7,8,9	Dorien Chromatique,Raga Kanakambari	7 notes	Harmonics.com	0,13,14,17,7,20,21
0,3,4,5,7,10,11	Dorien Chromatique Inverse,Raga None	7 notes	Harmonics.com	0,3,4,17,7,10,11
0,2,3,4,7,8,9	Hypodorien Chromatique	7 notes	Harmonics.com	0,14,3,4,7,20,21
0,3,4,5,8,9,10	Hypodorien Chromatique Inverse	7 notes	Harmonics.com	0,3,4,17,20,21,10
0,1,4,6,7,8,11	Hypolydien Chromatique,Puravi Bvi	7 notes	Harmonics.com	0,13,4,18,7,20,11,0,13,4,6,7,20,11
0,1,2,5,6,7,9	Hypophrygien Chromatique Inverse	7 notes	Harmonics.com	0,13,14,17,6,7,21,0,13,14,17,18,7,21
0,1,4,5,6,9,11	Lydien Chromatique	7 notes	Harmonics.com	0,13,4,17,6,21,11,0,13,4,17,18,21,11
0,1,3,6,7,8,11	Lydien Chromatique Inverse,Todi Bvi	7 notes	Harmonics.com	0,13,3,18,7,20,11,0,13,3,6,7,20,11
0,1,2,4,6,7,10	Mixolydien Chromatique	7 notes	Harmonics.com	0,13,14,4,18,7,10,0,13,14,4,6,7,10
0,1,2,5,6,7,10	Mixolydien Chromatique	7 notes	Harmonics.com	0,13,14,17,6,7,10,0,13,14,17,18,7,10
0,2,5,6,7,10,11	Mixolydien Chromatique Inverse	7 notes	Harmonics.com	0,14,17,18,7,10,11,0,14,17,6,7,10,11
0,3,4,5,8,10,11	Phrygien Chromatique	7 notes	Harmonics.com	0,3,4,17,20,10,11
0,1,2,4,7,8,9	Phrygien Chromatique Inverse	7 notes	Harmonics.com	0,13,14,4,7,20,21
0,2,3,5,7,8,9,10	Aeolien Dorien	8 notes	Harmonics.com	0,14,3,17,7,20,21,10
0,2,3,5,6,9,10	Dorien B5	7 notes	Harmonics.com	0,14,3,17,6,21,10,0,14,3,17,18,21,10
0,1,3,5,6,9	Double-phrygien Hexatonique	6 notes	Harmonics.com	0,13,3,17,6,21,0,13,3,17,18,21
0,1,4,5,6,8,10,11	Énigmatique	8 notes	Harmonics.com	0,13,4,17,6,20,10,11,0,13,4,17,18,20,10,11
0,1,4,5,8,10,11	Enigmatique Déscendante	7 notes	Harmonics.com	0,13,4,17,20,10,11
0,1,3,6,8,10,11	Enigmatique Mineure	7 notes	Harmonics.com	0,13,3,18,20,10,11,0,13,3,6,20,10,11
0,2,4,6,8,9	Eskimo Hexatonique 2	6 notes	Harmonics.com	0,14,4,6,20,21,0,14,4,18,20,21
0,2,4,6,8,11	Eskimo Hexatonique 2 (Amérique Du Nord)	6 notes	Harmonics.com	0,14,4,18,20,11,0,14,4,6,20,11
0,2,4,6,7,8,11	Exemple De Pelog,Mela Latangi,Mela Latangi (B6)	7 notes	Harmonics.com	0,14,4,18,7,20,11,0,14,4,6,7,20,11
0,4,5,7,9,11	Genus Secundum	6 notes	Harmonics.com	0,4,17,7,21,11
0,1,5,6,8,9,10	Raga Kalakanti	7 notes	Harmonics.com	0,13,17,6,20,21,10,0,13,17,18,20,21,10
0,1,4,5,7,8,9	Gypsy Hexatonique	7 notes	Harmonics.com	0,13,4,17,7,20,21
0,3,6,10,11	Demi-diminué Plus B8	5 notes	Harmonics.com	0,3,18,10,11,0,3,6,10,11
0,1,3,5,6,7,8,11	Bebop Demi-diminué	8 notes	Harmonics.com	0,13,3,17,6,7,20,11,0,13,3,17,18,7,20,11
0,2,5,7,8	Han - Kumoi (Japon)	5 notes	Harmonics.com	0,14,17,7,20
0,1,2,3,5,7,8,11	Mineure Harmonique Napolitaine	8 notes	Harmonics.com	0,13,14,3,17,7,20,11
0,2,3,7,9,11	Hawaïenne,Nando Kyemyonjo (Corée)	6 notes	Harmonics.com	0,14,3,7,21,11
0,1,3,5,6,10	Honchoshi Plagal Form	6 notes	Harmonics.com	0,13,3,17,6,10,0,13,3,17,18,10
0,3,4,5,7,9,11	Houzam (Grèce),Raga Saildesakshi,Trishuli	7 notes	Harmonics.com	0,3,4,17,7,21,11
0,1,2,3,6,7,8,11	Hongroise Mineure B2	8 notes	Harmonics.com	0,13,14,3,6,7,20,11,0,13,14,3,18,7,20,11
0,1,3,4,7,8,10	Indienne,Phrygien Quarte Diminuée	7 notes	Harmonics.com	0,13,3,4,7,20,10
0,1,3,6,7	Pentacorde Japonais,Pentacorde Javanais	5 notes	Harmonics.com	0,13,3,18,7,0,13,3,6,7
0,1,3,4,5,7,9,10	Jg Octatonique	8 notes	Harmonics.com	0,13,3,4,17,7,21,10
0,2,4,6,9	Kung	5 notes	Harmonics.com	0,14,4,6,21,0,14,4,18,21
0,2,3,5,6,8,11	Locrien 2	7 notes	Harmonics.com	0,14,3,17,6,20,11,0,14,3,17,18,20,11
0,1,3,5,6,8,9	Bb7 Locrien	7 notes	Harmonics.com	0,13,3,17,6,20,21,0,13,3,17,18,20,21
0,3,4,7,9,11	Lydien #2 Hexatonique,Lydien B3 Hexatonique	6 notes	Harmonics.com	0,3,4,7,21,11
0,2,3,4,6,7,9,11	Lydien B3	8 notes	Harmonics.com	0,14,3,4,18,7,21,11,0,14,3,4,6,7,21,11
0,2,3,4,6,7,9,10	Lydien Dim B7	8 notes	Harmonics.com	0,14,3,4,18,7,21,10,0,14,3,4,6,7,21,10
0,2,3,6,7,9,11	Lydien Diminué,Raga Dumyaraga,Madhuvanti,Ambika,Mela Nitimati	7 notes	Harmonics.com	0,14,3,18,7,21,11,0,14,3,6,7,21,11
0,2,4,6,7,9,10,11	Lydien Dominant + Septième Naturelle,Lydien À La Fois Naturel Et 7e Dominante	8 notes	Harmonics.com	0,14,4,18,7,21,10,11,0,14,4,6,7,21,10,11
0,2,4,7,9,11	Lydien Hexatonique	6 notes	Harmonics.com	0,14,4,7,21,11
0,2,4,6,7,8,10	Lydien Mineur,Stravinski,Raga Ratipriya	7 notes	Harmonics.com	0,14,4,18,7,20,10,0,14,4,6,7,20,10
0,2,4,6,7	Pentacorde Lydien	5 notes	Harmonics.com	0,14,4,18,7,0,14,4,6,7
0,1,3,4,6,8,9,11	Magen Abot	8 notes	Harmonics.com	0,13,3,4,6,20,21,11,0,13,3,4,18,20,21,11
0,2,4,5,7,8,9	Majeur Bebop Heptatonique,Mela Mararanjani	7 notes	Harmonics.com	0,14,4,17,7,20,21
0,2,4,7,8,9	Majeur Bebop Hexatonique	6 notes	Harmonics.com	0,14,4,7,20,21
0,2,4,5,6,7,9,11	Lydien Majeur,Genus Diatonicum Veterum Correctum,Ishikotsucho (Japon)	8 notes	Harmonics.com	0,14,4,17,6,7,21,11,0,14,4,17,18,7,21,11
0,2,4,5,7	Pentacorde Majeur	5 notes	Harmonics.com	0,14,4,17,7
0,1,4,5,7,8,10,11	Maqam Hijaz	8 notes	Harmonics.com	0,13,4,17,7,20,10,11
0,1,3,4,5,6,9,10	Maqam Shadd'araban,Maqam Shadd'araban (6b De)	8 notes	Harmonics.com	0,13,3,4,17,6,21,10,0,13,3,4,17,18,21,10
0,1,4,6,7,9,11	Marva Ou Marvi,Marva Thaat	7 notes	Harmonics.com	0,13,4,18,7,21,11,0,13,4,6,7,21,11
0,1,2,6,7,9,10	Mela Navanitam	7 notes	Harmonics.com	0,13,14,6,7,21,10,0,13,14,18,7,21,10
0,1,3,6,7,8,10	Mela Bhavapriya	7 notes	Harmonics.com	0,13,3,18,7,20,10,0,13,3,6,7,20,10
0,2,4,6,7,10,11	Mela Citrambari	7 notes	Harmonics.com	0,14,4,18,7,10,11,0,14,4,6,7,10,11
0,3,4,6,7,8,11	Mela Dhatuvardhani	7 notes	Harmonics.com	0,3,4,18,7,20,11,0,3,4,6,7,20,11
0,1,4,6,7,8,9	Mela Dhavalambari	7 notes	Harmonics.com	0,13,4,6,7,20,21,0,13,4,18,7,20,21
0,1,3,6,7,10,11	Mela Divamani	7 notes	Harmonics.com	0,13,3,18,7,10,11,0,13,3,6,7,10,11
0,1,2,5,7,8,11	Mela Ganamurti	7 notes	Harmonics.com	0,13,14,17,7,20,11
0,3,4,5,7,8,11	Mela Gangeyabhusani	7 notes	Harmonics.com	0,3,4,17,7,20,11
0,1,3,6,7,8,9	Mela Gavambohdi	7 notes	Harmonics.com	0,13,3,6,7,20,21,0,13,3,18,7,20,21
